ID,ROW,COL,SCENE,LAT,LON,LSAT_ROW,LSAT_COL,REF_CODE,REF_CLASS,REF_NOTE,CONFIDENCE,INCLUSION,D_LAST_F,D_FIRST_NF,D_CLEAR,D_EXPAND,D_CHANGE,D_EVENT,ASSESSOR,REVIEWED,FINAL_CODE,FINAL_CLAS,REV_NOTE,Stratum,Fusion,MCCDC,TERRAI,REF_CODE_P
5,92,210,P007R059,2.151041666,-74.1261911,1635,2247,0,F,edge,3,Edge,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
6,548,674,P007R059,1.201041666,-73.12335668,5134,5968,0,F, ,3, ,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
7,5110,6040,P232R066,-8.303125,-62.5841373,2295,7474,0,F, ,3, ,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
9,5086,5552,P232R066,-8.253125,-63.60349753,2112,3732,0,F, ,3, ,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
10,5203,5565,P232R066,-8.496875,-63.61596199,3010,3688,0,F, ,3, ,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
13,5263,5675,P232R066,-8.621875,-63.40506854,3470,4462,4,NF, ,3, ,0,0,0,0,0,0,bullocke,xjtang,4,NF, ,1,4,4,1,4
17,4484,9523,P227R065,-6.998958334,-55.08232829,2713,5279,0,F,is this on a hill?,3, ,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
21,4652,9114,P227R065,-7.348958334,-55.98383724,3993,1956,0,F,"2015202 looks like something might happen, but its very subtle and is definitely not a change",3, ,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
23,4513,9523,P227R065,-7.059375,-55.08949042,2936,5252,4,NF,landsat time series shows clear break around 2004,3, ,0,0,0,0,0,0,bullocke, ,4,NF, ,1,4,4,1,4
24,146,764,P007R059,2.038541666,-72.96597002,2046,6549,0,F,no doubt,3, ,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
25,4991,5633,P232R066,-8.055208334,-63.40159308,1382,4473,0,F,possibly degraded forest,3, ,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
30,222,157,P007R059,1.880208333,-74.22433671,2633,1883,4,NF,no doubt,3, ,0,0,0,0,0,0,bullocke, ,4,NF, ,4,4,4,0,4
32,354,172,P007R059,1.605208333,-74.18223613,3646,2040,0,F,no doubt,3, ,0,0,0,0,0,0,bullocke,xjtang,0,F, ,0,0,0,0,0
35,4907,9503,P227R065,-7.880208334,-55.23513357,5960,4703,0,F,edge of agriculture,3,Edge,0,0,0,0,0,0,bullocke, ,0,F, ,4,4,0,0,0
36,4397,9189,P227R065,-6.817708334,-55.76200899,2037,2778,0,F,partial agriculture,3,Edge,0,0,0,0,0,0,bullocke, ,0,F, ,4,4,0,0,0
37,4443,9404,P227R065,-6.913541667,-55.32204265,2395,4397,4,NF,"looks slightly like forest at first, but certaintly it changed earlier",3, ,0,0,0,0,0,0,bullocke, ,4,NF, ,4,4,4,0,4
39,4478,9122,P227R065,-6.986458334,-55.92252044,2657,2185,0,F,no question,3, ,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
40,612,757,P007R059,1.067708333,-72.94704058,5625,6623,0,F,no doubt,3, ,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
42,4879,9378,P227R065,-7.821875,-55.49024214,5741,3766,0,F,slightly on the edge of agriculture,3,Edge,0,0,0,0,0,0,bullocke, ,0,F, ,4,0,4,0,0
44,4913,9058,P227R065,-7.892708334,-56.17275247,5995,1257,0,F,no question,3, ,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
46,4429,9247,P227R065,-6.884375,-55.64809401,2284,3197,0,F, ,3, ,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
47,618,110,P007R059,1.055208333,-74.29489101,5673,1623,0,F,no doubt,3, ,0,0,0,0,0,0,bullocke,xjtang,0,F, ,0,0,0,0,0
48,4329,9255,P227R065,-6.676041667,-55.60726178,1516,3349,0,F,"kind of near change, but well over one pixel away",3, ,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
49,577,609,P007R059,1.140625,-73.25722432,5357,5472,0,F,no doubt,3, ,0,0,0,0,0,0,bullocke, ,0,F, ,0,0,0,0,0
